y,velocity_x,velocity_y,pressure
0.05,0.00166075273364,4.30540373762e-06,0.701812934377
0.15,0.00451398692335,2.70025223011e-05,0.691984248358
0.25,0.00666252074701,6.39279001956e-05,0.682009595635
0.35,0.00814797056822,0.00010780413693,0.671872864322
0.45,0.00898646066625,0.000152486120063,0.661571889527
0.55,0.00916414116872,0.000191178858488,0.651108042442
0.65,0.00863014085811,0.000214043835934,0.640451801798
0.75,0.00729495092033,0.000202877242483,0.629712999729
0.85,0.00504740085832,0.000134755943553,0.620333817835
0.95,0.00182842356067,2.78761811088e-05,0.611915505598
1.05,0,0,0.495
1.15,0,0,0.485
1.25,0,0,0.475
1.35,0,0,0.465
1.45,0,0,0.455
1.55,0,0,0.445
1.65,0,0,0.435
1.75,0,0,0.425
1.85,0,0,0.415
1.95,0,0,0.405
2.05,0,0,0.395
2.15,0,0,0.385
2.25,0,0,0.375
2.35,0,0,0.365
2.45,0,0,0.355
2.55,0,0,0.345
2.65,0,0,0.335
2.75,0,0,0.325
2.85,0,0,0.315
2.95,0,0,0.305
3.05,0,0,0.295
3.15,0,0,0.285
3.25,0,0,0.275
3.35,0,0,0.265
3.45,0,0,0.255
3.55,0,0,0.245
3.65,0,0,0.235
3.75,0,0,0.225
3.85,0,0,0.215
3.95,0,0,0.205
4.05,0.00266767180874,-3.62407721344e-05,0.281199587936
4.15,0.00773312012344,-0.000165744251393,0.269280342907
4.25,0.011878409932,-0.00022320254628,0.258938497252
4.35,0.0151117838649,-0.00019965692978,0.25082015476
4.45,0.0175635147527,-0.000141803500955,0.242841830212
4.55,0.0193697172338,-8.16743468168e-05,0.23482418417
4.65,0.0206342703013,-3.32157394584e-05,0.226773277511
4.75,0.0214278704501,-1.34760637176e-06,0.218632280618
4.85,0.0218000271209,1.42046742311e-05,0.210343022249
4.95,0.0217849606136,1.65480066959e-05,0.201871466119
5.05,0.0214056779595,9.86156237117e-06,0.193201479634
5.15,0.0206764581534,-1.61478264238e-06,0.184326713296
5.25,0.019604527357,-1.40809938978e-05,0.175248173241
5.35,0.0181911793918,-2.44544382326e-05,0.165973685945
5.45,0.0164325220406,-3.05657876209e-05,0.156517137009
5.55,0.0143199389371,-3.13119410438e-05,0.146897311192
5.65,0.01184026885,-2.67737702821e-05,0.137136497844
5.75,0.00897582005307,-1.82989872497e-05,0.127258788998
5.85,0.0057036976957,-8.54285643899e-06,0.117287681061
5.95,0.00199635202277,-1.44297536385e-06,0.107242990095
